DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-12-2021,600.0,615.0,565.55,583.55,585.0,615.0,565.55,13930950,8232465801.65,319364,590.95,EQ
15-12-2021,585.0,598.8,578.0,584.95,583.5,615.0,565.55,1337812,788198410.65,37584,589.17,EQ
16-12-2021,586.0,594.5,566.1,570.9,571.5,615.0,565.55,664868,385745769.15,15551,580.18,EQ
17-12-2021,570.8,578.95,564.95,568.75,568.1,615.0,564.95,664213,377778903.65,11469,568.76,EQ
20-12-2021,555.0,560.65,542.6,551.55,552.0,615.0,542.6,790254,435847172.0,10998,551.53,EQ
21-12-2021,552.0,578.4,552.0,574.65,571.95,615.0,542.6,571786,325559709.3,9561,569.37,EQ
22-12-2021,570.0,588.95,570.0,580.5,576.0,615.0,542.6,302623,175488211.8,7393,579.89,EQ
23-12-2021,580.5,587.0,570.05,576.1,575.0,615.0,542.6,205315,118988959.2,6376,579.54,EQ
24-12-2021,574.1,577.3,565.6,571.4,571.0,615.0,542.6,148467,84635480.5,4229,570.06,EQ
27-12-2021,563.1,572.95,563.1,571.45,570.1,615.0,542.6,218861,124678631.35,3483,569.67,EQ
28-12-2021,572.0,578.0,567.0,572.05,575.0,615.0,542.6,235878,135000118.75,5050,572.33,EQ
29-12-2021,570.1,602.05,568.2,583.15,583.3,615.0,542.6,373429,218513923.1,11440,585.16,EQ
30-12-2021,580.15,605.0,580.15,585.75,584.0,615.0,542.6,637277,379212554.15,16879,595.05,EQ
31-12-2021,587.95,606.0,585.0,588.5,593.0,615.0,542.6,383891,228593133.25,12529,595.46,EQ
03-01-2022,595.0,642.5,592.05,632.75,626.7,642.5,542.6,1123074,697656275.7,33224,621.2,EQ
04-01-2022,629.7,654.0,618.35,639.8,634.9,654.0,542.6,943975,603868060.55,29073,639.71,EQ
05-01-2022,635.9,648.5,631.4,637.1,635.6,654.0,542.6,345322,220788553.5,12939,639.37,EQ
06-01-2022,634.9,642.0,624.0,634.7,630.3,654.0,542.6,300674,190736727.55,9114,634.36,EQ
07-01-2022,646.0,649.0,608.0,619.45,620.0,654.0,542.6,949045,599266038.2,33205,631.44,EQ
10-01-2022,610.1,644.4,597.05,629.3,641.9,654.0,542.6,1185655,729075455.0,30177,614.91,EQ
11-01-2022,629.7,640.75,619.0,626.0,625.75,654.0,542.6,378459,238004216.8,11154,628.88,EQ
12-01-2022,630.7,634.9,610.1,618.45,619.7,654.0,542.6,161687,100652596.35,7537,622.52,EQ
13-01-2022,623.45,627.9,613.8,619.9,620.55,654.0,542.6,353212,218284732.4,11854,618.0,EQ
14-01-2022,623.9,629.0,616.55,622.95,619.7,654.0,542.6,166453,103694255.15,3666,622.96,EQ
17-01-2022,628.5,638.05,616.1,619.0,622.05,654.0,542.6,269120,168614625.8,7555,626.54,EQ
18-01-2022,626.0,630.05,610.0,613.5,615.05,654.0,542.6,154614,95705425.15,5050,619.0,EQ
19-01-2022,613.0,621.0,599.7,610.85,604.05,654.0,542.6,145045,88490618.25,3406,610.09,EQ
20-01-2022,605.1,626.4,602.75,605.05,603.05,654.0,542.6,309974,190022434.75,7430,613.03,EQ
21-01-2022,596.0,620.9,595.95,603.1,604.0,654.0,542.6,212651,129276636.75,8485,607.93,EQ
24-01-2022,604.9,608.3,571.0,580.05,595.95,654.0,542.6,317612,185131135.15,8922,582.88,EQ
25-01-2022,580.0,600.8,574.25,592.45,593.95,654.0,542.6,150277,89000579.85,6665,592.24,EQ
27-01-2022,590.0,599.0,582.8,593.7,594.0,654.0,542.6,49623,29365338.4,2862,591.77,EQ
28-01-2022,596.9,610.95,590.0,594.2,595.0,654.0,542.6,98971,59647465.35,4865,602.68,EQ
31-01-2022,599.65,604.0,581.0,584.5,587.7,654.0,542.6,200431,117729994.25,4672,587.38,EQ
01-02-2022,589.0,598.0,580.0,589.1,594.5,654.0,542.6,140359,82474998.2,6229,587.6,EQ
02-02-2022,591.1,601.0,589.1,593.45,590.0,654.0,542.6,67753,40369285.75,2930,595.83,EQ
03-02-2022,589.25,595.95,586.35,587.0,587.1,654.0,542.6,40506,23897818.95,1676,589.98,EQ
04-02-2022,588.0,590.05,574.0,587.5,584.0,654.0,542.6,66736,38873974.4,2719,582.5,EQ
07-02-2022,587.0,589.65,580.0,583.4,583.0,654.0,542.6,37641,22033053.5,1740,585.35,EQ
08-02-2022,583.0,590.0,570.15,583.15,584.9,654.0,542.6,102788,59464615.3,5348,578.52,EQ
09-02-2022,586.0,591.0,570.0,581.85,583.95,654.0,542.6,134125,77763906.65,7625,579.79,EQ
10-02-2022,583.0,607.75,582.15,605.7,605.65,654.0,542.6,193406,115465009.9,7104,597.01,EQ
11-02-2022,612.95,613.8,550.0,591.8,588.0,654.0,542.6,186326,112366535.6,8177,603.06,EQ
14-02-2022,575.4,585.95,554.5,568.7,568.0,654.0,542.6,231591,131969284.9,10011,569.84,EQ
15-02-2022,566.0,592.4,557.25,586.15,580.1,654.0,542.6,294912,170375497.2,11496,577.72,EQ
16-02-2022,585.0,591.5,570.1,571.75,570.5,654.0,542.6,63886,37043475.55,3111,579.84,EQ
17-02-2022,573.0,578.0,562.0,572.85,576.05,654.0,542.6,134045,76226952.7,4306,568.67,EQ
18-02-2022,567.1,573.3,560.2,566.2,566.85,654.0,542.6,110431,62460661.25,3578,565.61,EQ
21-02-2022,559.8,568.15,556.0,563.2,563.6,654.0,542.6,81389,45896161.5,2470,563.91,EQ
22-02-2022,550.1,564.0,546.1,560.45,557.0,654.0,542.6,141915,78750338.05,3151,554.91,EQ
23-02-2022,557.1,572.4,556.4,560.9,562.0,654.0,542.6,21214,11934921.2,1449,562.6,EQ
24-02-2022,550.85,556.65,542.05,551.4,554.7,654.0,542.05,159114,87486553.05,5794,549.84,EQ
25-02-2022,555.0,564.9,555.0,559.8,564.0,654.0,542.05,128129,71779764.3,3343,560.21,EQ
28-02-2022,559.8,561.45,554.05,559.0,556.25,654.0,542.05,27790,15526869.55,1387,558.72,EQ
02-03-2022,554.1,565.0,552.1,555.7,552.1,654.0,542.05,39794,22128710.7,1631,556.08,EQ
03-03-2022,555.0,566.9,555.0,562.3,561.9,654.0,542.05,37897,21274392.05,1759,561.37,EQ
04-03-2022,554.0,564.65,554.0,556.9,558.45,654.0,542.05,30004,16700212.2,1409,556.6,EQ
07-03-2022,555.0,561.2,552.0,559.15,558.3,654.0,542.05,35960,20049746.05,1858,557.56,EQ
08-03-2022,556.1,601.8,556.1,583.65,584.0,654.0,542.05,221988,128268920.55,8310,577.82,EQ
09-03-2022,590.5,590.5,572.4,584.5,585.0,654.0,542.05,108550,63136157.85,4840,581.63,EQ
10-03-2022,589.75,590.0,570.0,578.1,580.0,654.0,542.05,78707,45789764.95,4994,581.78,EQ
11-03-2022,580.0,584.0,570.75,572.85,573.0,654.0,542.05,137947,79101024.35,1863,573.42,EQ
14-03-2022,569.0,577.45,560.75,568.45,571.0,654.0,542.05,75359,42843210.25,4527,568.52,EQ
15-03-2022,570.0,573.4,563.0,564.25,563.0,654.0,542.05,20416,11604025.0,1524,568.38,EQ
16-03-2022,576.75,576.75,569.2,573.85,572.0,654.0,542.05,23949,13732544.45,1467,573.41,EQ
17-03-2022,579.75,580.5,567.5,570.05,567.5,654.0,542.05,43670,25079724.0,2866,574.3,EQ
21-03-2022,572.0,578.5,566.15,576.2,575.0,654.0,542.05,44046,25249452.05,2049,573.25,EQ
22-03-2022,580.7,589.25,578.0,586.7,586.75,654.0,542.05,74431,43509797.05,3144,584.57,EQ
23-03-2022,590.0,596.05,582.0,588.35,584.0,654.0,542.05,77295,45726788.95,3376,591.59,EQ
24-03-2022,585.0,592.45,585.0,591.55,591.5,654.0,542.05,29237,17198836.35,932,588.26,EQ
25-03-2022,593.0,597.8,591.0,594.0,594.0,654.0,542.05,46448,27606919.15,1894,594.36,EQ
28-03-2022,594.45,596.4,589.05,593.8,592.55,654.0,542.05,22276,13212361.6,1075,593.12,EQ
29-03-2022,595.0,599.0,588.55,595.15,599.0,654.0,542.05,159873,95006924.0,2495,594.26,EQ
30-03-2022,604.8,623.0,602.0,606.5,608.0,654.0,542.05,231414,141440715.85,9068,611.2,EQ
31-03-2022,610.0,612.4,603.0,606.3,608.5,654.0,542.05,63685,38657788.75,2535,607.02,EQ
01-04-2022,617.0,617.0,605.2,608.4,608.9,654.0,542.05,32767,19919556.9,2675,607.92,EQ
04-04-2022,610.0,618.25,606.0,614.5,615.0,654.0,542.05,89938,55075091.85,3315,612.37,EQ
05-04-2022,615.0,619.0,611.25,612.3,611.55,654.0,542.05,37100,22811391.75,1399,614.86,EQ
06-04-2022,612.0,636.0,611.05,621.25,620.0,654.0,542.05,82435,51460414.3,3673,624.25,EQ
07-04-2022,620.0,625.0,606.0,609.8,609.0,654.0,542.05,103797,63967354.9,2127,616.27,EQ
08-04-2022,609.0,621.8,609.0,610.9,610.0,654.0,542.05,41255,25305841.85,1528,613.4,EQ
11-04-2022,611.0,612.7,606.25,610.0,609.0,654.0,542.05,35653,21738503.25,1685,609.72,EQ
12-04-2022,618.0,620.4,610.0,612.65,615.0,654.0,542.05,115193,70896377.5,4948,615.46,EQ
